birthday	blitz_games	blitz_k	blitz_rating	country	fideid	flag	games	k	name	o_title	rapid_games	rapid_k	rapid_rating	rating	sex	title	w_title
1990				ARG	173142	i	0	20	Juliarena, Agustin					2115			
1985				UAE	9302557				Jumma, Ammed								
				IND	5038464				Justin								
1980				IND	5036372				Justin, Brarly G.								
1978				IND	5033888				Jwalamukhi, K.V.								
				IND	5016843				K S, Madhumathi						w		
				IND	5048850				K, Ram Teja								
				BAN	10206060	i	0	40	K.m., Golam Mostafa					1767			
				BAN	10204113				K.S., Neseruddin								
				IRI	12506877	i	0	40	Kaberi, Mehdi					1920			
				IRI	12504947				Kabir, Younes								
				MAR	9001115				Kabta, Abdelali								
				IND	5048915				Kadam, Pandurang								
				IND	5048923				Kadam, Pratik								
				IND	5038685				Kaisary, Umang								
2000				IND	5015960				Kakade, Sai						w		
				IND	5015979				Kakde, Priya						w		
1953	0	20	1686	IND	5036380		0	20	Kalidass, C.		0	20	1681	1535			
1978				IND	5048982	i	0	40	Kamat, Brahmanand		0	20	1720	1738			
				GRE	4221567				Kambanis, Apostolos								
1955				IND	5030986				Kamble, Yashwant								
				IND	5049024				Kambli, Twinkle								
				IRI	12510718		0	20	Kanani, Anoosh					2013			
				IRI	12506230				Kanani, Sabah								
				IND	5039789				Kandanathan, Varna								
				GRE	4212584				Karabelas, Manolis								
				MAR	9001131				Karafi, Mounir								
1982				IND	5030773	i	0	40	Karandikar, Sameer		0	20	1544	1561			
				GRE	4221656				Karayannis, Kosmas								
				IRI	12504963				Karghosha, Bahman								
1962				IND	5049105	i	0	20	Kargutkar, N. J.					1690			
				IND	5049113				Kargutkar, N.J.								
				IND	5042070				Kari, Venu Madhav								
				GRE	4215630				Karipidou, Varvara								
				IND	5031249				Karteek, Jaladi								
1985				IND	5012902	i	0	40	Karthik, J.					1972			
				IND	5049156				Karthik, Reddy								
1986				IND	5049172				Karuna								
				SRI	9902406	i	0	40	Karunanayake, M.Methma					1899			
1990				IND	5036402				Karunanidhi, D.								
				IND	5049199				Kasar, Viki								
				IRI	12510726				Kasra, Reza								
				SRI	9902414				Kasun, Wilanga								
1990				IND	5033896				Katiyar, Pooja								
				GRE	4221729				Katsikaros, Ilias								
				IRI	12506885				Kaveei, Hamed								
				GRE	4213742				Kazakos, Manolis								
				IND	5049210				Kedar Umesh, Vaze								
				IND	5049261				Keerthi Jeja, K L								
				IRI	12510734				Keihan, Salman								
				IND	5049288				Kelkar, Sharad								
